Erdos728FactorialDivisibility	SKIP
LagrangeTheoremOQ01PSquare	PASS
LagrangeTheoremOQ02	PASS
LagrangeTheoremOQ02OQ01	PASS
LagrangeTheoremOQ02OQ01OQ01	FAIL
LagrangeTheoremOQ02OQ01OQ02	PASS
LagrangeTheoremOQ02OQ02	FAIL
LagrangeTheoremOQ02OQ02OQ01	FAIL
LagrangeTheoremOQ02OQ02OQ01OQ01	PASS
LagrangeTheoremOQ02OQ02OQ01OQ01OQ01	PASS
LagrangeTheoremOQ02OQ02OQ01OQ01OQ01OQ01	PASS
LagrangeTheoremOQ02OQ02OQ01OQ02	PASS
LagrangeTheoremOQ02OQ03	PASS
LagrangeTheoremOQ03	FAIL
LagrangeTheoremOQ03OQ02	FAIL
LagrangeTheoremOQ05	FAIL
LagrangeTheoremOQ06	PASS
LagrangeTheoremOQ07	PASS
LagrangeTheoremOQ07OQ02	PASS
LagrangeTheoremOQ08	PASS
LagrangeTheoremOQ08OQ01	PASS
LagrangeTheoremOQ09	PASS
LagrangeTheoremOQ10	PASS
LawOfCosines	FAIL
LawOfCosinesOQ01OQ01	PASS
LawOfCosinesOQ01OQ01OQ01	FAIL
LawOfCosinesOQ01OQ01OQ01OQ02	PASS
LawOfCosinesOQ01OQ01OQ03	FAIL
LawOfCosinesOQ01OQ02	PASS
LawOfCosinesOQ01OQ04	FAIL
LawOfCosinesOQ03	PASS
LawOfCosinesOQ03OQ02	FAIL
LawOfCosinesOQ03OQ03	PASS
LawOfCosinesOQ04	PASS
LawOfCosinesOQ04OQ01	FAIL
LawOfCosinesOQ04OQ01Bisector	FAIL
LawOfCosinesOQ04OQ02	PASS
LawOfCosinesOQ04OQ02OQ01	PASS
LawOfCosinesOQ05	PASS
LawOfCosinesOQ07	PASS
LawOfCosinesOQ07OQ01	FAIL
LawOfCosinesOQ07OQ02	PASS
LawOfCosinesOQ07OQ02OQ01	PASS
LawOfCosinesOQ08	PASS
LawOfCosinesOQ09	PASS
LawOfSinesOQ06	FAIL
LawsOfLargeNumbers	FAIL
LawsOfLargeNumbersOQ01	FAIL
LawsOfLargeNumbersOQ01Aristotle	FAIL
LawsOfLargeNumbersOQ01OQ01	FAIL
LawsOfLargeNumbersOQ01OQ01OQ02	PASS
LawsOfLargeNumbersOQ01OQ02	FAIL
LawsOfLargeNumbersOQ01OQ02OQ01	FAIL
LawsOfLargeNumbersOQ01OQ02OQ01OQ02	PASS
LawsOfLargeNumbersOQ01OQ03	FAIL
LawsOfLargeNumbersOQ02	FAIL
LawsOfLargeNumbersOQ03	FAIL
LawsOfLargeNumbersOQ03Aristotle	FAIL
LawsOfLargeNumbersOQ04	PASS
LawsOfLargeNumbersOQ04OQ03	PASS
LawsOfLargeNumbersOQ04OQ03Bracketing	PASS
LawsOfLargeNumbersOQ04OQ03BracketingDisproof	PASS
LawsOfLargeNumbersOQ04OQ03QuantileBracketing	PASS
LebesgueMeasure	FAIL
LebesgueMeasureOQ01	FAIL
LebesgueMeasureOQ01OQ01	FAIL
LebesgueMeasureOQ01OQ01OQ01	PASS
LebesgueMeasureOQ01OQ01OQ01OQ02	FAIL
LebesgueMeasureOQ01OQ01OQ02	FAIL
LebesgueMeasureOQ01OQ01OQ02OQ02	PASS
LebesgueMeasureOQ01OQ01OQ02OQ02OQ02	PASS
LebesgueMeasureOQ01OQ01OQ02Riemann	FAIL
LebesgueMeasureOQ01OQ02	PASS
LebesgueMeasureOQ01OQ03	PASS
LebesgueMeasureOQ02	PASS
LebesgueMeasureOQ03	FAIL
LebesgueMeasureOQ03OQ01	FAIL
LebesgueMeasureOQ03WIP01	PASS
LebesgueMeasureOQ04	FAIL
LebesgueMeasureOQ05	PASS
LebesgueMeasureOQ06	FAIL
LebesgueMeasureOQ06Aristotle	PASS
LebesgueMeasureOQ06OQ01	FAIL
LegendreFactorialFormulaOQ01	PASS
LegendreFactorialFormulaOQ01OQ01	PASS
LegendreFactorialFormulaOQ01OQ01OQ01	PASS
LegendreFactorialFormulaOQ01OQ02	PASS
LegendreGapEquivalence	PASS
LegendrePartial	PASS
LegendrePartialOQ04	PASS
LegendrePrimeGapSqrtBoundSuffices	PASS
LeibnizPi	FAIL
LeibnizPiOQ01OQ01	PASS
LeibnizPiOQ01OQ02	PASS
LeibnizPiOQ01OQ03	PASS
LeibnizPiOQ02	FAIL
LeibnizPiOQ02Aristotle	FAIL
LeibnizPiOQ03	FAIL
LeibnizPiOQ04	PASS
LiftingTheExponentOQ01	PASS
LiftingTheExponentOQ01OQ01	PASS
LiftingTheExponentOQ02	PASS
LiftingTheExponentOQ02OQ01	PASS
LiouvilleTheorem	FAIL
LiouvilleTheoremOQ03	FAIL
LiouvilleTheoremOQ04	FAIL
LiouvilleTheoremOQ05	PASS
LittleWedderburnOQ01	PASS
LittleWedderburnOQ01OQ01	PASS
LittleWedderburnOQ01OQ01OQ01	PASS
LittleWedderburnOQ01OQ02	FAIL
LittleWedderburnOQ02	PASS
LittleWedderburnOQ02OQ02	PASS
LittleWedderburnSubfieldLatticeOQ020101	PASS
LovaszLocalLemma	PASS
LovaszLocalLemmaOQ01	FAIL
LovaszLocalLemmaOQ01BayesSplit	PASS
LovaszLocalLemmaOQ01ChainRule	PASS
LovaszLocalLemmaOQ01CondIndep	PASS
LovaszLocalLemmaOQ01ConditionalAvoidance	PASS
LovaszLocalLemmaOQ01DenominatorRecursion	PASS
LovaszLocalLemmaOQ01DenominatorStep	PASS
LovaszLocalLemmaOQ01DependencySplit	PASS
LovaszLocalLemmaOQ01EulerThreshold	PASS
LovaszLocalLemmaOQ01InclusionExclusion	PASS
LovaszLocalLemmaOQ01InductionStep	PASS
LovaszLocalLemmaOQ01Pairwise	PASS
LovaszLocalLemmaOQ01Quantitative	PASS
LovaszLocalLemmaOQ01StrongInduction	FAIL
LovaszLocalLemmaOQ01SubsetHistoryPos	PASS
LovaszLocalLemmaOQ01SymmetricStep	FAIL
LovaszLocalLemmaOQ01UnionBound	PASS
LovaszLocalLemmaOQ02	PASS
LovaszLocalLemmaOQ02Aristotle	PASS
LovaszLocalLemmaOQ02Wip01	PASS
LovaszLocalLemmaOQ04	PASS
LovaszLocalLemmaOQ04Separation	PASS
LucasLehmerTestOQ01	PASS
LucasLehmerTestOQ01OQ01	PASS
LucasSequenceDegree2Identities	PASS
LucasSequenceDegree2IdentitiesOQ01	PASS
LucasSequenceDegree2IdentitiesOQ01OQ01	PASS
LucasSequenceDegree2IdentitiesOQ02	PASS
LucasSequenceDegree2IdentitiesOQ02OQ01	PASS
LucasSequenceDegree2IdentitiesOQ02OQ01OQ01	PASS
LucasSumOQ01	PASS
LucasSumOQ01OQ01	PASS
LucasSumOQ01OQ02	PASS
LucasTheoremOQ01	PASS
LucasTheoremOQ01OQ01	PASS
LucasTheoremOQ01OQ01OQ01	PASS
LucasTheoremOQ01OQ01OQ02	PASS
LucasTheoremOQ01OQ02	PASS
LucasTheoremOQ01OQ02OQ01	PASS
MachinFromAddition	PASS
MantelStabilityOQ01	PASS
MantelTheorem	PASS
MantelTheoremOQ01OQ02	PASS
MantelTheoremOQ03	PASS
MantelTheoremOQ03OQ01	PASS
MantelTheoremOQ03OQ01OQ02	PASS
MantelTheoremOQ04	PASS
MantelTheoremOQ04OQ01	PASS
MantelTheoremOQ04OQ02	PASS
MantelTheoremUniqueness	PASS
MarkovCoprime	PASS
MarkovDegenerate	PASS
MarkovEquation	PASS
MarkovEquationOQ02	PASS
MarkovEquationOQ05	PASS
MarkovEquationOQ06	PASS
MarkovEquationOQ06OQ01	PASS
MarkovHurwitz	PASS
MarkovHurwitzOQ03OQ01	PASS
MaschkeAugmentationNoSplitOQ010101	FAIL
MaschkeLocalRingOQ010102	FAIL
MaschkeModularCounterexampleOQ01	FAIL
MaschkeTheoremOQ01	FAIL
MasonStothersOQ01	PASS
MasonStothersOQ01OQ01	PASS
MasonStothersOQ01OQ02	PASS
MathematicalInduction	PASS
MathematicalInductionOQ01	FAIL
MathematicalInductionOQ01OQ01	PASS
MathematicalInductionOQ01OQ04	PASS
MathematicalInductionOQ03	FAIL
MatrixPosDefSqrtOQ01	PASS
MatrixPosDefSqrtOQ01OQ01	PASS
MatrixPosDefSqrtOQ01OQ01OQ01	PASS
MatrixSimilarityInvariantsOQ01	FAIL
MatrixSimilarityInvariantsOQ01OQ01	PASS
MatrixSimilarityInvariantsOQ01OQ01OQ02	PASS
MatrixSimilarityInvariantsOQ01OQ02	PASS
MeanValueTheorem	FAIL
MeanValueTheoremOQ02	FAIL
MeanValueTheoremOQ02OQ01	FAIL
MeanValueTheoremOQ02OQ01OQ01	FAIL
MeanValueTheoremOQ02OQ01OQ02	FAIL
MeanValueTheoremOQ02OQ02UIcc	FAIL
MeanValueTheoremOQ02OQ04	FAIL
MeanValueTheoremOQ02OQ04OQ01	FAIL
MeanValueTheoremOQ03	FAIL
MeanValueTheoremOQ04	FAIL
MeanValueTheoremOQ04OQ01	PASS
MeanValueTheoremOQ04OQ03	FAIL
MeanValueTheoremOQ05	PASS
MeanValueTheoremOQ06	PASS
MellinPowerConvergenceOQ01	PASS
MellinPowerConvergenceOQ01OQ01	PASS
MenelausTheorem	PASS
MenelausTheoremOQ01	PASS
MenelausTheoremOQ01OQ01OQ01	PASS
MenelausTheoremOQ01OQ02	PASS
MenelausTheoremOQ01OQ03	PASS
MersennePrimeExponent	PASS
MersennePrimeExponentOQ02	PASS
MidyTheorem	PASS
MinkowskiFundamentalTheorem	PASS
MinkowskiFundamentalTheoremOQ01	PASS
MinkowskiFundamentalTheoremOQ01OQ01	PASS
MinkowskiFundamentalTheoremOQ01OQ02	PASS
MinkowskiFundamentalTheoremOQ02	FAIL
MinkowskiFundamentalTheoremOQ03	PASS
MinkowskiFundamentalTheoremOQ03OQ01	PASS
MinkowskiFundamentalTheoremOQ04	PASS
MinkowskiFundamentalTheoremOQ05	PASS
MinkowskiTheoremOQ02	FAIL
MinkowskiTheoremOQ02OQ01	PASS
MinkowskiTheoremOQ02OQ03	PASS
MinkowskiTheoremOQ03	FAIL
MinkowskiTheoremOQ04	PASS
MinkowskiTheoremOQ04OQ02	PASS
MinkowskiTheoremOQ04OQ03	FAIL
MinkowskiTheoremOQ05	PASS
MinkowskiTheoremOQ06	PASS
MinpolyCharpoly	PASS
MinpolyCharpolyOQ01	FAIL
MinpolyCharpolyOQ01OQ01	PASS
MinpolyCharpolyOQ02	PASS
MinpolyCharpolyOQ02Incomplete01	PASS
MinpolyCharpolyOQ03	FAIL
MinpolyCharpolyOQ03OQ01	FAIL
MiquelPivotTheoremOQ01	PASS
MobiusInversionIE	PASS
MorleysTheorem	FAIL
MorleysTheoremOQ01	PASS
MorleysTheoremOQ01OQ01	PASS
MorleysTheoremOQ03	PASS
MoserTardos	PASS
MotivicFlagMaps	PASS
MotivicFlagMapsOQ03	PASS
MotivicFlagMapsPartialFlags	FAIL
MotivicFlagMapsProvable	PASS
NakayamaLemmaOQ01	PASS
NakayamaLemmaOQ01OQ01	PASS
NakayamaLemmaOQ01OQ02	PASS
NapoleonAreaOQ04	PASS
NapoleonOrbitOQ0301	PASS
NapoleonsTheorem	FAIL
NapoleonsTheoremOQ02	FAIL
NapoleonsTheoremOQ03	FAIL
NarcissisticNumberOQ01	PASS
NavierStokes	FAIL
NavierStokesOQ0101	PASS
NesbittInequalityOQ01	PASS
NesbittInequalityOQ01OQ01	PASS
NesbittInequalityOQ01OQ02	PASS
NewtonIndStep2	FAIL
NewtonInductiveStep	PASS
NewtonInductiveStepOQ01	FAIL
NewtonInductiveStepOQ01Aristotle	FAIL
NewtonInductiveStepOQ01OQ02	PASS
NewtonInductiveStepOQ02	FAIL
NewtonInductiveStepOQ02OQ02	PASS
NewtonInductiveStepOQ03	FAIL
NewtonLogConcavity	FAIL
NewtonPowerSumIdentitiesOQ01	PASS
NewtonPowerSumIdentitiesOQ01OQ01	PASS
NewtonPowerSumIdentitiesOQ01OQ02	PASS
NewtonPowerSumIdentitiesOQ01OQ03	PASS
NewtonSignedInputs	FAIL
NicomachusFifthPowers	PASS
NicomachusFourthPowers	PASS
NicomachusOddCubes	PASS
NicomachusSumOfCubes	PASS
NivenTheorem	PASS
NivenTheoremOQ01OQ02	PASS
NivenTheoremOQ01OQ03	PASS
NivenTheoremOQ02	PASS
NivenTheoremOQ03	PASS
NormEuclideanZsqrtdFamilyOQ03	PASS
NormEuclideanZsqrtdFamilyOQ03OQ02	FAIL
NormEuclideanZsqrtdFamilyOQ03OQ02OQ01	FAIL
NormalAutDegreeFormula	PASS
NormalAutFinSepDegreeEquality	PASS
NthRootIrrational	PASS
NthRootIrrationalOQ01	PASS
NthRootIrrationalOQ01OQ01	PASS
NthRootIrrationalOQ01OQ01Cos	PASS
NthRootIrrationalOQ01OQ01CosRational	PASS
NthRootIrrationalOQ01OQ01Degree	PASS
NthRootIrrationalOQ01OQ01Real	PASS
NthRootIrrationalOQ02	PASS
NthRootIrrationalOQ02OQ02	PASS
OSBridge	FAIL
OddCubesSum	PASS
OddSquaresSum	PASS
OnePlusOne	PASS
OnePlusOneOQ01	PASS
OnePlusOneOQ02	PASS
OnePlusOneOQ04	PASS
OpenMappingTheoremOQ01	PASS
OrderOneAddMulPrimeOQ01	PASS
OrderOneAddMulPrimeOQ0101	PASS
OrthonormalExpansionRate	PASS
PACLearning	FAIL
PACLearningBoundsWIP01	PASS
PACLearningBoundsWIP01OQ01	PASS
PACLearningBoundsWIP01OQ02OQ04	PASS
PACLearningBoundsWIP01SauerShelah	PASS
PACLearningOQ01	PASS
PACLearningOQ01OQ01	PASS
PACLearningOQ01OQ07	PASS
PACLearningOQ04	PASS
PNPBarriersLegacy	FAIL
PNPBarriersOQ01	PASS
PNPBarriersSound	FAIL
PNPBarriersUnified	FAIL
PSeriesConvergenceOQ01	PASS
PappusTheoremOQ02	FAIL
ParallelPostulateIndependence	PASS
ParallelPostulateIndependenceOQ02	PASS
PartitionTheorem	FAIL
PartitionTheoremOQ01	FAIL
PartitionTheoremOQ01OQ01	FAIL
PartitionTheoremOQ02	PASS
PartitionTheoremOQ03	FAIL
PartitionTheoremOQ03OQ03	PASS
PartitionTheoremOQ04	FAIL
PartitionTheoremOQ04Aristotle	FAIL
PascalsHexagon	FAIL
PascalsHexagonIncomplete01	PASS
PascalsHexagonIncomplete01OQ01	PASS
PascalsHexagonIncomplete01OQ03	PASS
PascalsHexagonIncomplete01OQ03OQ01	PASS
PascalsHexagonOQ02	FAIL
PascalsHexagonOQ03	FAIL
PascalsHexagonOQ03Incomplete01	PASS
PascalsHexagonOQ03Incomplete01Derangements	FAIL
PellEquation	PASS
PellEquationOQ01	FAIL
PellEquationOQ01OQ04	PASS
PellEquationOQ01OQ04OQ01	PASS
PellEquationOQ01OQ04OQ02	PASS
PellEquationOQ01OQ04OQ02OQ01	PASS
PellEquationOQ01OQ04OQ02OQ02	PASS
PellEquationOQ01OQ04OQ03	PASS
PellEquationOQ02	PASS
PellEquationOQ03	PASS
PellEquationOQ04	PASS
PellEquationOQ04OQ01	PASS
PellEquationOQ05	PASS
PellEquationOQ06	PASS
PellEquationOQ06OQ01	PASS
PellEquationOQ06OQ01OQ02	PASS
PellEquationOQ06OQ02	PASS
PellEquationOQ06OQ03	PASS
PellEquationOQ06OQ03OQ03	PASS
PellEquationOQ06OQ04	PASS
PellEquationOQ06OQ05	PASS
PellEquationOQ06OQ06	PASS
PellEquationOQ06OQ07	PASS
PellEquationOQ07	PASS
PellEquationOQ07OQ01	PASS
PellEquationOQ07OQ01OQ01	PASS
PellEquationOQ07OQ01OQ02	PASS
PellEquationOQ08	PASS
PentagonalNumberTheoremOQ01	FAIL
PentagonalNumberTheoremOQ01OQ01	FAIL
PentagonalNumberTheoremOQ01OQ02	FAIL
PentagonalNumberTheoremOQ01OQ03	PASS
PerfectNumbers	FAIL
PerfectNumbersOQ02	PASS
PerfectNumbersOQ03	FAIL
PerfectNumbersOQ05	PASS
PerfectNumbersOQ05OQ01	PASS
PerfectNumbersOQ06	PASS
PiTranscendental	FAIL
PicardIterationExplicitOQ0102	FAIL
PicardLindelofOQ01	PASS
PicardLindelofOQ01OQ01OQ01	FAIL
PicksTheorem	PASS
PicksTheoremOQ01	FAIL
PicksTheoremOQ01OQ01	FAIL
PicksTheoremOQ01OQ01OQ01	FAIL
PicksTheoremOQ01OQ01OQ01OQ02	PASS
PicksTheoremOQ01OQ02	FAIL
PicksTheoremOQ02	FAIL
PicksTheoremOQ03	FAIL
PicksTheoremOQ03CrossPoly	PASS
PicksTheoremOQ03Ext	PASS
PicksTheoremOQ03ExtOQ02	PASS
PicksTheoremOQ03Product	PASS
PicksTheoremOQ04	PASS
PicksTheoremOQ04FanApex	PASS
PicksTheoremOQ04OQ02	PASS
PlanarGraphDischarging	PASS
PlatonicSolids	PASS
PlatonicSolidsOQ01	PASS
PlatonicSolidsOQ02	FAIL
PlatonicSolidsOQ02OQ01	PASS
PlatonicSolidsOQ03	PASS
PlatonicSolidsOQ03OQ01	PASS
PoincareConjecture	FAIL
PolynomialDerivativeLeibnizOQ01	PASS
PolynomialDerivativeLeibnizOQ01OQ01	PASS
PompeiuTheorem	PASS
PowerMeanCrossZeroOQ	PASS
PowerMeanEqualityOQ	PASS
PowerMeanLimitOQ	FAIL
PowerMeanMonotoneOQ	PASS
PrimeGapBounds	PASS
PrimeGapBoundsOQ01	FAIL
PrimeGapBoundsOQ03	PASS
PrimeGapsUnbounded	PASS
PrimeNumberTheorem	PASS
PrimeNumberTheoremOQ01	PASS
PrimeNumberTheoremOQ01OQ01	FAIL
PrimeNumberTheoremOQ03	PASS
PrimeReciprocalDivergence	PASS
PrimeReciprocalDivergenceOQ01	PASS
PrimeReciprocalDivergenceOQ02	PASS
PrimeReciprocalDivergenceOQ03	FAIL
PrimitiveRoots	FAIL
PrimitiveRootsOQ02	FAIL
PrimitiveRootsOQ03	FAIL
PrimitiveRootsOQ04	PASS
PrimitiveRootsOQ05	PASS
ProbMethodAlteration	PASS
ProbMethodAlterationOQ01	PASS
ProbMethodAlterationOQ02	PASS
ProbMethodAlterationOQ03	FAIL
ProbMethodApplications	PASS
ProbMethodApplicationsOQ03	PASS
ProbMethodApplicationsWIP	PASS
ProbMethodApplicationsWIPOQ01	PASS
ProbMethodApplicationsWIPOQ02	PASS
ProbMethodApplicationsWIPOQ03	PASS
ProbMethodExpectation	PASS
ProbMethodExpectationOQ01	FAIL
ProbMethodExpectationOQ04	FAIL
ProbMethodExpectationOQ05	PASS
ProbMethodLovaszLocalOQ02	PASS
ProbMethodLovaszLocalOQ03	PASS
ProbMethodSecondMoment	PASS
ProbMethodSecondMomentOQ01	FAIL
ProbMethodSecondMomentOQ01OQ01	PASS
ProbMethodSecondMomentOQ01OQ03	PASS
ProbMethodSecondMomentOQ02	PASS
ProbMethodSecondMomentOQ04	PASS
ProbMethodSecondMomentOQ04OQ03	FAIL
ProbMethodSecondMomentOQ04OQ03OQ01	PASS
ProductOfSegmentsOfChords	PASS
ProductOfSegmentsOfChordsConverse	FAIL
ProductOfSegmentsOfChordsOQ01	FAIL
ProductOfSegmentsOfChordsOQ03	PASS
ProductOfSegmentsOfChordsOQ04	PASS
ProductOfSegmentsOfChordsOQ05	PASS
ProductOfSegmentsOfChordsOQ05OQ01	PASS
PropertyBFirstMoment	PASS
PropertyBFirstMomentAsymmetric	PASS
PropertyBFirstMomentConditionalOpt	PASS
PropertyBFirstMomentIndepRecoloring	PASS
PropertyBFirstMomentOQ03	PASS
PropertyBFirstMomentRamsey	PASS
PropertyBFirstMomentRecoloring	FAIL
PropertyBUpperBound	PASS
PtolemyInequalityInnerProduct	PASS
PtolemysComplexProof	PASS
PtolemysComplexProofOQ01	PASS
PtolemysComplexProofOQ02	FAIL
PtolemysComplexProofOQ02OQ02	PASS
PtolemysTheorem	PASS
PtolemysTheoremOQ01	PASS
PtolemysTheoremOQ01Incomplete01	FAIL
PtolemysTheoremOQ01OQ01	FAIL
PtolemysTheoremOQ01OQ01OQ03	PASS
PtolemysTheoremOQ01OQ01OQ03OQ01	PASS
PtolemysTheoremOQ01OQ01OQ03OQ02	PASS
PtolemysTheoremOQ01OQ02	FAIL
PtolemysTheoremOQ03	PASS
PtolemysTheoremOQ04	PASS
PuiseuxTheorem	FAIL
PuiseuxTheoremOQ01	PASS
PuiseuxTheoremOQ02	FAIL
PuiseuxTheoremOQ03	FAIL
PvsNP	PASS
PythagoreanTheorem	FAIL
PythagoreanTheoremOQ01	FAIL
PythagoreanTheoremOQ01Dissection	PASS
PythagoreanTheoremOQ01Garfield	PASS
PythagoreanTheoremOQ03	FAIL
PythagoreanTheoremOQ03OQ02	PASS
PythagoreanTheoremOQ04	PASS
PythagoreanTheoremOQ04OQ01	PASS
PythagoreanTheoremOQ05	FAIL
PythagoreanTheoremOQ06	PASS
PythagoreanTriples	PASS
PythagoreanTriplesOQ01	PASS
PythagoreanTriplesOQ01Aristotle	PASS
PythagoreanTriplesOQ02	FAIL
PythagoreanTriplesOQ02OQ01	PASS
PythagoreanTriplesOQ03	PASS
PythagoreanTriplesOQ04	PASS
PythagoreanTriplesOQ04OQ01	PASS
PythagoreanTriplesOQ04OQ01OQ01	FAIL
PythagoreanTriplesOQ04OQ04	PASS
PythagoreanTriplesOQ05	PASS
PythagoreanTriplesOQ06	PASS
PythagoreanTriplesOQ06OQ01	PASS
PythagoreanTriplesOQ06OQ01OQ01	PASS
PythagoreanTriplesOQ06OQ01OQ01OQ01	PASS
PythagoreanTriplesOQ06OQ01OQ01OQ02	PASS
PythagoreanTriplesOQ07	PASS
PythagoreanTriplesOQ07OQ01	PASS
PythagoreanTriplesOQ08	PASS
PythagoreanTriplesOQ08OQ01	PASS
PythagoreanTriplesOQ09	PASS
PythagoreanTriplesOQ10	PASS
QuadraticGaussSumDiagonal	PASS
QuadraticGaussSumNormParseval	PASS
QuadraticGaussSumSignReduction	PASS
QuadraticGaussSumSignSmall	PASS
QuadraticGaussSumSignSmallEleven	PASS
QuadraticGaussSumSignSmallFive	PASS
QuadraticGaussSumSignSmallSeven	PASS
QuadraticGaussSumSignSmallThirteen	PASS
QuadraticGaussSumSquare	PASS
QuadraticGaussSumSquareOQ01	PASS
QuadraticGaussSumSquareOQ02	PASS
QuadraticGaussSumSquareOQ02OQ01	PASS
QuadraticGaussSumSquareOQ02OQ02	PASS
QuadraticGaussSumSquareOQ03	PASS
QuadraticGaussSumSquareOQ04	PASS
QuadraticGaussSumSquareOQ04OQ01	PASS
QuadraticGaussSumTwist	PASS
QuadraticReciprocity	PASS
QuadraticReciprocityAlgorithmOQ01	PASS
QuadraticReciprocityAlgorithmOQ02	PASS
QuadraticReciprocityAlgorithmOQ02OQ01	PASS
QuadraticReciprocityAlgorithmOQ03	FAIL
QuadraticReciprocityAlgorithmOQ03FieldBridge	FAIL
QuadraticReciprocityAlgorithmOQ03M2	FAIL
QuadraticReciprocityAlgorithmOQ03M2Capstone	FAIL
QuadraticReciprocityAlgorithmOQ03Zolotarev	FAIL
QuadraticReciprocityOQ03	FAIL
QuadraticReciprocityOQ03OQ01	FAIL
QuadraticReciprocityOQ03OQ01Exp	FAIL
QuadraticReciprocityOQ03OQ02	PASS
QuadraticReciprocityOQ03OQ03	PASS
QuadraticReciprocityOQ04	PASS
QuadraticReciprocityOQ04OQ01	PASS
QuadraticReciprocityOQ04OQ02	PASS
RamanujanSumFallacy	FAIL
RamanujanSumFallacyOQ02	PASS
RamseyFirstMoment	PASS
RamseyFirstMomentOQ01	PASS
RamseyFirstMomentOffDiagonal	PASS
RamseyHypergraph	FAIL
RamseyLLLDependency	PASS
RamseyR4k	PASS
RamseyR4kExtensions	FAIL
RamseyR4kExtensionsOQ03	FAIL
RamseyR4kExtensionsOQ03Deletion	PASS
RamseyR4kExtensionsOQ03OQ01	PASS
RamseyR4kExtensionsOQ03OQ02	FAIL
RamseyR4kOQ01	PASS
RamseyR4kOQ02	PASS
RamseyR4kOQ04	PASS
RamseyR4kOQ05	PASS
RamseysTheorem	FAIL
RamseysTheoremOQ02	FAIL
RamseysTheoremOQ04	FAIL
RamseysTheoremOQ04OQ01	PASS
RamseysTheoremOQ04OQ03	PASS
RandomizedMaxCut	FAIL
RandomizedMaxCutOQ03	FAIL
RandomizedMaxCutOQ05	FAIL
RandomizedMaxcutOQ02	FAIL
RandomizedMaxcutOQ04	FAIL
RationalCanonicalFormExists	FAIL
RearrangementChebyshevEqOQ01	PASS
RearrangementChebyshevEqOQ01OQ02	PASS
RearrangementChebyshevStrictOQ01OQ01	PASS
RearrangementChebyshevStrictOQ01OQ02	PASS
RearrangementChebyshevStrictOQ01OQ02OQ01	PASS
RearrangementWeightedChebyshev	PASS
RelativizedHalting	PASS
RelativizedHaltingBridge	PASS
RepunitDivisibilityOQ01	PASS
RepunitDivisibilityOQ02	PASS
RepunitDivisibilityOQ02OQ01	PASS
RiemannHypothesis	FAIL
RiemannHypothesisConsequences	FAIL
RiemannHypothesisConsequencesOQ01	PASS
RiemannHypothesisConsequencesOQ02	PASS
RiemannHypothesisConsequencesOQ03	PASS
RothTheorem	FAIL
RothTheoremAristotle	PASS
RothTheoremModulusDecay	PASS
RothTheoremOQ01	FAIL
RothTheoremOQ01Primes	FAIL
RothTheoremOQ01RecipSufficient	FAIL
RothTheoremOQ01Reciprocal	FAIL
RothTheoremOQ01Weighted	FAIL
RothTheoremOQ02	PASS
RothTheoremOQ03	FAIL
RothTheoremOQ03OQ01	PASS
RothTheoremOQ03OQ01OQ01	FAIL
RothTheoremOQ03OQ01OQ01OQ01	FAIL
RothTheoremOQ03OQ01OQ01OQ01OQ01	FAIL
RothTheoremQuantitative	FAIL
RothTheoremQuantitativeAristotle	FAIL
RothTriangleRemoval	FAIL
SchauderFixedPoint	FAIL
SchauderFixedPointOQ01	FAIL
SchauderFixedPointOQ03	FAIL
SchauderFixedPointOQ03OQ01	FAIL
SchauderFixedPointOQ04	PASS
SchnirelmannBasis	PASS
SchnirelmannCounting	PASS
SchnirelmannInequality	PASS
SchnirelmannTheorem	PASS
SchroderGeneratingFunction	PASS
SchroderHolonomicODE	PASS
SchroderLinearRecurrence	PASS
SchroderLinearRecurrenceAristotle	PASS
SchroderNumbersOQ01	PASS
SchroderNumbersOQ0101	PASS
SchroderNumbersOQ010102	PASS
SchroederBernstein	PASS
SchroederBernsteinOQ01	FAIL
SchroederBernsteinOQ02	FAIL
SchroederBernsteinOQ02OQ01	PASS
SchroederBernsteinOQ03	FAIL
SchroederBernsteinOQ03Aristotle	PASS
SchroederBernsteinOQ03OQ01	PASS
SchroederBernsteinOQ03OQ02	PASS
SchroederBernsteinOQ03StatementOnly	PASS
SchroederBernsteinOQ04	PASS
SchroederBernsteinOQ04OQ01	PASS
SchroederBernsteinOQ04OQ01OQ01	PASS
SchroederBernsteinOQ05	PASS
SchurHornMajorization	PASS
SchurZassenhausConjugacyAbelianOQ03OQ01	PASS
SchursLemma	PASS
SchursLemmaOQ01OQ02	PASS
SchursLemmaOQ02	PASS
SchursTheorem	FAIL
SearchMathlib	FAIL
SecondIsomorphismTheoremModulesOQ01	PASS
SecondIsomorphismTheoremModulesOQ01OQ01	PASS
ShannonChannelCoding	FAIL
ShannonChannelCodingAWGN	FAIL
ShannonChannelCodingAWGNOQ01	FAIL
ShannonChannelCodingAWGNOQ02	PASS
ShannonChannelCodingAWGNOQ02OQ02	PASS
ShannonChannelCodingAWGNOQ03	FAIL
ShannonChannelCodingAWGNOQ03OQ01	PASS
ShannonChannelCodingAWGNOQ03OQ01EqualNoise	FAIL
ShannonChannelCodingAWGNOQ03OQ01Greatest	PASS
ShannonChannelCodingAWGNOQ03OQ01Monotone	FAIL
ShannonChannelCodingBEC	FAIL
ShannonChannelCodingBECOQ01	FAIL
